sampleName,,,,MB-clonallines-scars-plate2c3_81,MB-clonallines-scars-plate2c3_83,MB-clonallines-scars-plate2c3_73,MB-clonallines-scars-plate2c3_79,MB-clonallines-scars-plate2c3_87,MB-clonallines-scars-plate2c3_85,MB-clonallines-scars-plate2c3_75,MB-clonallines-scars-plate2c3_326,MB-clonallines-scars-plate2c3_77,MB-clonallines-scars-plate2c3_140,MB-clonallines-scars-plate2c3_56,MB-clonallines-scars-plate2c3_58,MB-clonallines-scars-plate2c3_51,MB-clonallines-scars-plate2c3_88,MB-clonallines-scars-plate2c3_55,MB-clonallines-scars-plate2c3_63,MB-clonallines-scars-plate2c3_100,MB-clonallines-scars-plate2c3_129,MB-clonallines-scars-plate2c3_76,MB-clonallines-scars-plate2c3_232,MB-clonallines-scars-plate2c3_164,MB-clonallines-scars-plate2c3_117,MB-clonallines-scars-plate2c3_9,MB-clonallines-scars-plate2c3_40,MB-clonallines-scars-plate2c3_61,MB-clonallines-scars-plate2c3_86,MB-clonallines-scars-plate2c3_62,MB-clonallines-scars-plate2c3_31,MB-clonallines-scars-plate2c3_227,MB-clonallines-scars-plate2c3_49,MB-clonallines-scars-plate2c3_39,MB-clonallines-scars-plate2c3_52,MB-clonallines-scars-plate2c3_64,MB-clonallines-scars-plate2c3_78,MB-clonallines-scars-plate2c3_80,MB-clonallines-scars-plate2c3_252,MB-clonallines-scars-plate2c3_37,MB-clonallines-scars-plate2c3_210,MB-clonallines-scars-plate2c3_92,MB-clonallines-scars-plate2c3_134,MB-clonallines-scars-plate2c3_74,MB-clonallines-scars-plate2c3_26,MB-clonallines-scars-plate2c3_98,MB-clonallines-scars-plate2c3_105,MB-clonallines-scars-plate2c3_71,MB-clonallines-scars-plate2c3_50,MB-clonallines-scars-plate2c3_57,MB-clonallines-scars-plate2c3_131,MB-clonallines-scars-plate2c3_121,MB-clonallines-scars-plate2c3_30,MB-clonallines-scars-plate2c3_225,MB-clonallines-scars-plate2c3_36,MB-clonallines-scars-plate2c3_107,MB-clonallines-scars-plate2c3_16,MB-clonallines-scars-plate2c3_336,MB-clonallines-scars-plate2c3_14,MB-clonallines-scars-plate2c3_34,MB-clonallines-scars-plate2c3_123,MB-clonallines-scars-plate2c3_99,MB-clonallines-scars-plate2c3_27,MB-clonallines-scars-plate2c3_82,MB-clonallines-scars-plate2c3_240,MB-clonallines-scars-plate2c3_276,MB-clonallines-scars-plate2c3_274,MB-clonallines-scars-plate2c3_41,MB-clonallines-scars-plate2c3_145,MB-clonallines-scars-plate2c3_2,MB-clonallines-scars-plate2c3_15,MB-clonallines-scars-plate2c3_322,MB-clonallines-scars-plate2c3_69,MB-clonallines-scars-plate2c3_1,MB-clonallines-scars-plate2c3_18,MB-clonallines-scars-plate2c3_193,MB-clonallines-scars-plate2c3_35,MB-clonallines-scars-plate2c3_213,MB-clonallines-scars-plate2c3_106,MB-clonallines-scars-plate2c3_167,MB-clonallines-scars-plate2c3_352,MB-clonallines-scars-plate2c3_110,MB-clonallines-scars-plate2c3_363,MB-clonallines-scars-plate2c3_224,MB-clonallines-scars-plate2c3_109,MB-clonallines-scars-plate2c3_309,MB-clonallines-scars-plate2c3_29,MB-clonallines-scars-plate2c3_233,MB-clonallines-scars-plate2c3_3,MB-clonallines-scars-plate2c3_60,MB-clonallines-scars-plate2c3_104,MB-clonallines-scars-plate2c3_13,MB-clonallines-scars-plate2c3_317,MB-clonallines-scars-plate2c3_318
chrom,allele,siteCoordinate,scarDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114513427,WT,32.0,18.0,3.0,7.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,T.114677003.I,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114676846,WT,76.0,24.0,53.0,70.0,9.0,52.0,94.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,WT,4672.0,1837.0,2389.0,10847.0,629.0,2800.0,8.0,,9.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,WT,3493.0,1453.0,2078.0,9444.0,387.0,2425.0,45.0,,70.0,1.0,2.0,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682941.D,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682940.D,6.0,3.0,1.0,9.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682941.D,8.0,3.0,2.0,7.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682877.D,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682917.D,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,"114682841.D,114682842.D",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,WT,131.0,46.0,102.0,420.0,15.0,77.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682856.D,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,"114682785.D,114682786.D,114682787.D,114682788.D,114682789.D,114682790.D",7.0,3.0,3.0,15.0,1.0,5.0,,,698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682879.D,4.0,1.0,3.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,T.114682938.I,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682800.D,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,None,114682729,"114682783.D,114682784.D,114682785.D,114682786.D,114682787.D",1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682940.D,7.0,,1.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,G.114682939.I,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,114682784.D,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,129S1_SvImJ,114682729,114682816.D,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C57BL_6NJ,114682729,"114682756.D,114682757.D",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
